place_id,name,address,latitude,longitude,rating,num_reviews,food_types,price_level,hours
ChIJxyLwkRHZdUgRUo3ANVfCTg8,The Jovial Sailor Ripley,"Portsmouth Road Ripley, Woking, Ripley, Woking GU23 6EZ, UK",51.2894022,-0.5021131000000001,4.3,1526,"pub, bar, restaurant",PRICE_LEVEL_MODERATE,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM
ChIJ6VwawpLZdUgRWwdwRbt7Bzs,bp,"A3, A3 Ripley By-Pass, Ripley, Woking GU23 6PT, UK",51.29295,-0.49001,3.4,354,cafe,N/A,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours
ChIJZa8q9BrZdUgRffRW4ycIR-U,Shell,"Portsmouth Rd, Send, Woking GU23 7JY, UK",51.281842,-0.513326,3.2,48,"sandwich_shop, coffee_shop, cafe, restaurant",PRICE_LEVEL_MODERATE,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 7:00 AM – 10:00 PM; Sunday: 8:00 AM – 9:00 PM
ChIJ8c-c0zzZdUgRA867pS2LwkQ,Starbucks Coffee,"A3, Ripley, Woking GU23 6PT, UK",51.29259,-0.4904899999999999,3.8,1150,"coffee_shop, sandwich_shop, cafe, tea_house, meal_takeaway, restaurant",PRICE_LEVEL_MODERATE,Monday: 5:30 AM – 7:00 PM; Tuesday: 5:30 AM – 7:00 PM; Wednesday: 5:30 AM – 7:00 PM; Thursday: 5:30 AM – 7:00 PM; Friday: 5:30 AM – 7:00 PM; Saturday: 6:00 AM – 7:00 PM; Sunday: 7:00 AM – 7:00 PM
ChIJ16e6FQnZdUgRz7Y3AVixzBQ,The Saddlers Arms,"Send Marsh Rd, Send Marsh, Woking GU23 6JQ, UK",51.2900634,-0.5095552999999999,4.4,278,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 PM – 12:00 AM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 – 10:30 PM
ChIJ16mpRD3ZdUgRIupSNHUOsds,M&S Food To Go,"Ripley By-Pass Wisley, A3,10, Ripley, Woking GU23 6PT, UK",51.2929471,-0.4899991,2.6,55,"sandwich_shop, restaurant",PRICE_LEVEL_MODERATE,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours
ChIJH9UGOrrZdUgRiQsafoYr2f8,Ocean City,"149 Send Rd, Send, Woking GU23 7EZ, UK",51.291360999999995,-0.532242,3.8,75,"meal_takeaway, restaurant",PRICE_LEVEL_INEXPENSIVE,"Monday: 5:00 – 9:00 PM; Tuesday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Wednesday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Thursday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Friday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Saturday: 12:00 – 2:00 PM, 5:00 – 9:30 PM; Sunday: Closed"
ChIJywrlUoDRdUgR8-Z61BloOfg,Pig Out Pizza Limited,"Ripley Nurseries, Portsmouth Rd, Ripley, Woking GU2 3EY, UK",51.2901661,-0.502703,5,1,"restaurant, food_delivery",N/A,Monday: Closed; Tuesday: 10:00 AM – 3:00 PM; Wednesday: 10:00 AM – 3:00 PM; Thursday: 10:00 AM – 3:00 PM; Friday: 10:00 AM – 3:00 PM; Saturday: 10:00 AM – 3:00 PM; Sunday: Closed
ChIJP8OOVQDZdUgRxRR6ptKgWEg,Distillers of Surrey in send. Come and have a taste of there Gin.,"Ripley, Woking GU23 6JX, UK",51.2976302,-0.5087678,N/A,0,bar,N/A,N/A
ChIJyYQug_jmh0gRAGrOtua1NM8,The Drift Golf Club,"The Drift, East Horsley, Leatherhead KT24 5HD, UK",51.2887226,-0.4298545,4.5,248,restaurant,N/A,Monday: 7:30 AM – 9:00 PM; Tuesday: 7:30 AM – 9:00 PM; Wednesday: 7:30 AM – 9:00 PM; Thursday: 7:30 AM – 9:00 PM; Friday: 7:30 AM – 9:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM
